Tag ID,EventID,Type,Start-Ping,Seconds,UTCMilliseconds,f1,f2,snr,RMS,ZeroPeak,PeakPeak,SEL,file_name,sec_since_file_start,sampling_rate,samp_since_file_start,sec_since_tagon,file_start_time,tagon_time,correction
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:31:45,0.72,746,11674.16,12448.46,1.84,50.97,61.48,67.5,49.6,Zica-20191012-144029005,9798.74,96000,940679616,82065.99,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:31:50,0.61,177,11535.18,12369.05,1.64,51.23,62.27,68.29,49.15,Zica-20191012-144029005,9804.17,96000,941200992,82071.42,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:31:53,0.58,929,11614.59,12309.48,2.8,51.97,65.05,71.07,49.63,Zica-20191012-144029005,9806.92,96000,941465184,82074.17,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:32:22,0.6,539,11455.76,12349.19,1.87,52.69,65.87,71.87,50.47,Zica-20191012-144029005,9836.53,96000,944307744,82103.78,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:32:25,0.63,400,11634.45,12448.46,1.84,51.72,63.97,69.98,49.76,Zica-20191012-144029005,9839.4,96000,944582400,82106.64,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:32:30,0.71,577,11614.59,12349.19,0.34,50.76,61.88,67.9,49.27,Zica-20191012-144029005,9844.57,96000,945079392,82111.82,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:32:38,0.56,669,11614.59,12369.05,2.17,51.64,63.27,69.29,49.16,Zica-20191012-144029005,9852.66,96000,945856224,82119.91,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:32:41,0.58,603,11713.86,12547.73,1.92,51.42,64.09,70.11,49.08,Zica-20191012-144029005,9855.6,96000,946137888,82122.85,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:32:46,0.74,707,11654.3,12369.05,5.48,54.46,68.46,74.48,53.19,Zica-20191012-144029005,9860.7,96000,946627872,82127.95,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:32:55,0.65,865,11674.16,12329.34,5.99,54.64,65.91,71.92,52.81,Zica-20191012-144029005,9868.86,96000,947411040,82136.11,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
