TagID,tagon_time,Type,EventID,start_time,sec_since_tagon,duration,BB_RMS,SPL_rms_fc_1000,SPL_rms_fc_1250,SPL_rms_fc_1600,SPL_rms_fc_2000,SPL_rms_fc_2500,SPL_rms_fc_3150,SPL_rms_fc_4000,SPL_rms_fc_5000,SPL_rms_fc_6300,SPL_rms_fc_8000
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:17:15Z,99185.44,0.95,107.42210295206857,NA,NA,NA,NA,82.4263107558166,107.004502840094,96.8616958767304,75.3342263751756,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:17:39Z,99209.93,1.08,103.31468163048112,NA,NA,NA,NA,79.5784424669066,102.998388642109,91.5107781737157,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:18:04Z,99234.43,0.98,101.96777419747644,NA,NA,NA,NA,77.7400298116801,101.407174748699,92.6615362465115,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:18:28Z,99258.81,0.95,107.72392982735253,NA,NA,NA,NA,81.5546510542079,107.195198865303,98.1748373158329,76.3452535300441,75.0574355038449,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:18:53Z,99283.28,0.95,110.71035007114034,NA,NA,NA,NA,84.4199375066857,110.16442393223,101.322368422821,78.7812033274546,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:19:17Z,99307.74,0.98,100.37501226617647,NA,NA,NA,NA,75.9571309813761,99.9760634896531,89.6256833492756,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:19:42Z,99332.14,1.04,101.55181642846215,NA,NA,NA,NA,76.2821225413631,101.303148543053,88.7680788135314,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:20:06Z,99356.63,0.95,105.50365574388907,NA,NA,NA,NA,80.8123538001415,105.000108911203,95.6750263925618,76.1913944788222,74.9729760493709,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:20:31Z,99381.07,0.97,102.42752457600878,NA,NA,NA,NA,77.5662489907429,101.929574722419,92.6420356203866,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:20:55Z,99405.54,0.97,102.21193151066663,NA,NA,NA,NA,77.655523175516,101.641496361087,92.9886877036457,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:21:20Z,99430.05,0.97,99.42897705125104,NA,NA,NA,NA,74.3081123912808,98.8886806259387,89.994400635023,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:21:44Z,99454.48,0.97,103.47138016508872,NA,NA,NA,NA,80.0036293171206,103.249354848628,90.0360311007906,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:22:08Z,99478.9,0.91,101.5347099482953,NA,NA,NA,NA,77.6433406228442,101.081811979887,91.3095844964375,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:22:33Z,99503.35,0.98,102.62080290715396,NA,NA,NA,NA,77.0436205945685,102.115134486348,92.9204339701166,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:22:57Z,99527.81,1.04,107.40290693394982,NA,NA,NA,NA,81.6649016533797,106.950589581088,97.1671338209303,77.7692313316999,73.8162087295289,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:23:22Z,99552.28,1.02,110.64576754965702,NA,NA,NA,NA,84.7825114693549,110.239867878337,99.947493632476,77.4684696879435,80.6727308524194,NA
